text,label
"Cooking microwave pizzas, yummy",safe
Any plans of allowing sub tasks to show up in the widget?,safe
" I love the humor, I just reworded it. Like saying 'group therapy' instead`a 'gang banging'. Keeps my moms off my back.   Hahaha",safe
naw idk what ur talkin about,safe
Umm yeah. That`s probably a pretty good note to self because eeeeeewwwwwwww.,safe
whatever do you mean?,safe
"Basically I`ve listened to Miley Cyrus for fourteen hours now, and I love it.",safe
" I think that boat sailed my friend... The few CCO`s that had them, had them months ago....  I wish you luck though...",safe
Gave my mommy her Mother`s Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,safe
You`re welcome...,safe
Early monday cramming... yay. Only a few weeks left,safe
ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out,safe
Has Ruth today,safe
(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7,safe
http://twitpic.com/3ernb - Loving The Jumper,safe
"_NZ busy,fun mother`s day thanks  got what I wanted...a Wii Fit!!! Yay",safe
"This app is just great, it not only reminds me what I need to do, it really motivates me to do stuff. the only problem I'm facing, whenever I try to mark a task as completed, the task crashes, and then it updates and actually shown as completed, except this annoying bug, I love it.",safe
Still at work.,safe
_by_spork we shall see,safe
"  Ah  sameway Yet, has 2006 votes ((.We need more vote :`D",safe
@_missrachel how much?,safe
"shall bring his own glass to work from tonight, no more `half half` hor!!",safe
"Not as useful as Wunderlist... Yet!! Would prefer to have a tab for the ""week"". Not just day, that way I can anticipate. Also wish items would show up in my calendar.",safe
"() UGH, i love tila. haters need to shut up",safe
Wow - the dude said I was better than Bobbi Lewis.. never heard the guy - but I take that as a compliment  (just read the BL web site),safe
"Great planning app, reliable and easy to use.",safe
is chilling at home,safe
I hope that they could have an alarm after the rest session ends,safe
Helpful to visualize recurring events on Google calendar.,safe
yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk,safe
was jst out there wednesday,safe
Could get  to do the honours?,safe
yeah... it`s gonna be a long while for me.,safe
hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesome,safe
thanks dinno  appreciate it,safe
Hebrew language doesn't work...,safe
Loving Lego Indiana Jones. A game-researching aracheologist`s dream,safe
Download movie  'Ben 10: Alien Force' http://tinyurl.com/czb7b2 cool #movie,safe
" Years ago, my brother saw you and Bruce walking on the sidewalk in Sanibel. I used to live on Pine Is. Great place",safe
so technically....i havent really gotten out of bed. so i think you`re right and i`m gonna stay here!,safe
homework,safe
It's a wonderful app,safe
Easy to use. I will however like to have a time boxing feature for my daily activities.,safe
*hug*,safe
"_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don`t know if i like it, i`ll wait till i get your opinion",safe
"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!",safe
"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!",safe
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,safe
you dont say,safe
@_Freya Good Night,safe
hope u did alright on the final,safe
"Very nice, very simple, very usefull, but the free mode is too annoyingly limited. looking forward to having the ability to link habits with my wife or friends.",safe
agreed,safe
App is good but it could have better,safe
Been invited to join a group in Second Life called 'Ballistic Autistics'.  Cute name.,safe
"I wish it would sync, so I could use it on all devices",safe
Got a Saturdays framed signed foto last night  and a Valentino rossi 1 aswell  eee what a night,safe
Very useful and flexible for scheduling tasks. It can be better by employing ML to guess the best choice of time for any task.,safe
why won't my homescreen widget display all day events? this makes it really difficult to use,safe
"The app is great, and I've started to use it rather than wunderlist. Just 3 stars because I don't think the My Day section makes sense. Tasks flagged as to be done today, in others lists, should appear in My Day, as those are the tasks for Today, seems My Day only considers tasks added specifically to that list, and that makes it confusing and redundant, as in Planned, the right logic is applied, where you see planned tasks for today and ahead. Shouldn't the same logic apply to the My Day window? Or I am doing something wrong?",safe
"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry...",safe
I like all the songs  I can`t say just one guys! love ya,safe
Thanks for the link Geoff,safe
"Nice planner but you shouldn't have to pay to have ""week""view. I may not purchase now.",safe
It's really confusing! Its hadd to make routines and stuff. Just over all really confusing. But over great way to track routines. I love the tag idea. Mabey you should add a default school tag?,safe
has just bought attics to eden by madina lake  it`s totally AMAZING,safe
" I know! I can barely believe it`s almost over! Thanks for the review, lovely!",safe
I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson`s Creek doesn`t,safe
_nicole http://twitpic.com/4t6qx - i have the exact same pic except it`s my hubby & my chihuahua tucker   very cute.,safe
you need to share the h/w love! Some of us are still rocking 2008`s gear.,safe
_n Where can I get some?,safe
The layout for the app is awesome. But it would be better if non-routine task can be added into the timeline with the same activity for routine task.,safe
Watching twilight and eating potato salad.,safe
My car is in the car hospital for the nxt 7 days  I gotta go pick up a loaner car b4 6! Bein without wheels 4 7day will set me back heavy!,safe
Only 24hr option? no 12. Would be cool if you could color code the circles in the calendar date to that calendar that has an event for that day.,safe
Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen,safe
"Full package for IDR 139000, got a 33% discount but still IDR 139000",safe
Following _aisa These guys could be shifty but worth following regardless.,safe
"This task app is the only decent option I've found for combining tasks and calendar events into one scrollable widget. Tasks can be set to repeat from the date completed, which is essential for things like haircuts and cleaning schedules. Unfortunately, neither the app nor the widget (which is especially important) has many customization options. One option I would like, in particular, is the ability to hide the widget's title bar. Obviously color and display options would be nice, too.",safe
"mmm, pizza for dinner. yum. but i burnt my mouth though ..",safe
...definitely the first time I`ve felt alive again in years. Super happy,safe
I`m so proud of Dr. House for detoxing.  His Amber hallucination is evil!!,safe
The best yet!,safe
Enjoyed last night at what I call 'real world social networking' -  LOK event in Vancouver.  It was great!.  But headeache today,safe
looking forward to Ben`s baseball game tonight,safe
"I have used Wunderlist for about 5 years, but now its being retired. I tested and tried 10+ apps since then, and none were that great. I stumbled upon TickTick, and wish I had started using it years ago. TickTick has much greater customization options, and does a great job of incentivizing completion of tasks via feedback. It has made my life much easier. I do wish the widget had options to change how it appears, the ""to dos"" do not have breaks between them.",safe
It's actually good but it doesn't have a feature where your task appears on your lockscreen that will remind you everytime you forgot something to do.,safe
" thats what doting husbands are for LOL!!  I hope that once my braces go on, I can eat normally again",safe
i would love to come visit you in Korea.. next flight that is under 100 i am there!,safe
" that`s cool. Well if you need any more help regarding that, Google is your friend. Plenty of info on that!",safe
big shout out to all my home girls you know who you are,safe
_agwl Talking to whom? This `Shah Rukh Khan` is an imposter here... LOL! BTW thanx for the follow...,safe
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",safe
Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,safe
Heading to the U of Utah hospital. Have a great day everyone,safe
it`s like the library equivalent of 'it`s 5 o`clock somewhere.' someone else in on the ref desk somewhere,safe
"It really helped dude, I have online school and since there is no teacher to scream at me I delay my work but never seem to do it. But thanks to this app I'm planning everything and I'm slowly getting back in track. Recommend to all students out there",safe
" MANDY!!!  IT WON`T LET ME VOTE  I WANT HER TO WIN BUT I CAN`T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",safe
That`s just how babies are  Their little rhythms are still in sinc with when they were inutero.,safe
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,safe
Has got to look for a job this weekend,safe
"Pros: this app is very similar to the functionality of Wunderlist and adds features I wanted. Free version is fully functional except for the limitation of 9 lists Cons: Some of the widget buttons are small and I am not a fan of subscription services for premium features (I would pay a one-time fee, even for each upgrade, but i absolutely won't subscribe)",safe
"I like the concept... But it don't work. :( I am able to go on Facebook even if the tree is growing! Even now, I have a tree growing as I type. I really like the idea... but it don't work (on my phone).",safe
can you add more than 2 hours?,safe
I enrolled myself in beta version and gained almost 1000 coins. But after sometime the app stopped working properly! The start button won't work or the estimated time was almost 3 times. The I left the beta version and reinstalled the application. It's working fine now but I lost all the coin count and now I am back to square one! I was so upset! I love this application though! But please fix these bugs guys!,safe
love it. Cant wait for it to do even more.,safe
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",safe
On my way to dazzle bar!!,safe
Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!,safe
sun - where are you?,safe
_O Awesome! My family owns it...The Flowers.. and we love having your kids there! They seem to have lots of fun!!,safe
lol wat u making me come all da way overr there for?v,safe
I love this app! Very easy to use and it phelps me to keep track of my progress. A+,safe
Dude you are awesome,safe
" Thanks, I found the link http://bit.ly/uxOFO  , however I think you need to be a customer to download it",safe
"Cool concept, but I don't have the attention span for it.",safe
_kelly Bummed about the maxi dresses!  I think they`re so cute for summer but I`m only 5`4'!,safe
about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.,safe
Why isn't this also an Android wear watchface?,safe
Desktop version is better,safe
" Nothing, stayed home",safe
Laying on my bed. ONE spot smells like vanilla.  awesome,safe
lol that was a great movie,safe
Work on notifications... Its the best though am happy,safe
"No matter what I do, even setting 'no notifications' when creating event or task; they  continually pop up. Not happy with this feature.",safe
_Bayliss Naww... when should we go on mega scotter?,safe
"App looks great. UI is wonderful and the feature it have , they all are useful. Only problem because of which I uninstalled the app was simple and basic features like recurring task creations are made premium. Switching to tick tick for the same reason.",safe
Es muy útil para mantener las aplicaciones del celular cerradas mientras trabajas.,safe
Great app for tracking habits with tons of options! Only thing I can't seem to do is set a habit with a start date in the future. Is there a way to do this that I am missing? I'm a planner and like to set things up ahead of time. Otherwise it's fabulous!,safe
I love you,safe
I KNOW! I love Nicholas Braun & I think he`ll make an okay Cameron but I don`t wanna see it either,safe
"Its a cool app but im afraid it doesnt all too well on my huawei p9 leica, it doesnt kill the plant when I switch apps, rendering the whole experience pointless, I followed all the setup instructions and forums but it still didnt work : (",safe
good luck!!  OH and I are playing inthe mixed knockout this week. Playing the pros 14yr old son playing off 5 & top woman off 6,safe
" Good lord, man.   I recommend the Dark & Stormy at Casablanca.",safe
" not so awesome now, huh? LOL",safe
Now i`m fully awake,safe
"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D",safe
"Really nice overview, like the colors and how adjustable it is. Won't consider any other calendar app",safe
Oh. Now it doesn`t need updating all of a sudden. Ok. Will get dressed anyway,safe
"Will there ever be an update with an easier way to sync with other devices? I have spent so much time trying out todo apps with reminders and this is probably the best one ever, but I would really want to be able to manage it all across more than one device, such as with an autimatic periodic upload or one-touch sync button like in colornote. Thanks",safe
"Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjdjc",safe
OOh but you soon get to meet the dung mice!!,safe
"Its perfect,I really recommend downloading it,it has the priority of your works,calendar,etc...thank you so much!it is so useful",safe
yankees won mets lost. its a good day.,safe
" - We drank ours away, May Day Bank Holiday today",safe
wants to go home.,safe
keep dreamin`!!!! Though.... if she does.... hook me up  LOL,safe
i looked all cute too!,safe
Really helped me to level up my organizing and productivity! I wouldn't need all the premium features really tho.,safe
"Haha! just overheard on the us. 3 yrold to mom 'mom, I think I should learn to read today'",safe
morning David have a safe journey and enjoy your time in the states  ****,safe
Two day hangover,safe
"Works great, but when I start creating events and switch to a different app and go back to Business Calendar, they disappear. Also, very limited, unsearchable collection of emojis. No statistics on events, too. Would also love to see goal tracking. Needs prioritizements of tasks. Also, no option to find a time for an event.",safe
"I`ve got sunburnt knees... it`s funny now, but I bet they`ll sting later   Had a fab day though  x",safe
_Sweethearts Im following you but you aren`t on my DM list  Can you try to DM me?,safe
learn to fly higher...!  http://tinyurl.com/30tools,safe
I was going to hidden-file it and you`re thinking about youtube? SO NOTT! Lol. Hey put the phone down and more swimming,safe
hahahaha. Nahh sowwieee.  I had to git a shirt to match dez sneakerz nd idk if they da same color. Aghhh =O lol,safe
I love this for lists. Currently I am using it to keep track if my school work while over this school break!,safe
"Glorious day in Glasgow for a change, and I`m working  Too much to do to even contemplate knocking off early...",safe
7pm? So early. Dat`s 4pm my time.,safe
_30439 I really wish I could go!,safe
Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live,safe
Excellent product!! I think this is the third time I am editing my review for this app. That's mainly because the app popped up the review request while I was planning my tasks. I should feel like I was interrupted right? No I wasn't. This app is helping me for several years I even forgot when I started using it. And I just can't stress enough how much I like it. Fantastic work guys!,safe
"I downloaded this app on my tablet long time ago (full version) and recently also downloaded it on my phone as I don't bring my tablet with me all the time. I only use the ""task"" function, because  my  calendar events do not sync properly (I haven't fpnd the sync button on my phone...) and another not so funny thing for me: I am using the same account for both devices, BUT I can't use the full version on my phone (I get a message that I need to buy it (???)...) that's why I need to use my tablet (with the full version on it) if I want to add something.",safe
that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,safe
the app and widget are very good. Will change to 5 start when I can be able to add task using google assistant.,safe
wish u was in the D!,safe
random night of fun  now im chillin at home.. happy mothers day!,safe
u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.,safe
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",safe
It wasn`t loading.,safe
Chilling out....now the boys have gone  Time To Relax,safe
haha so bored...but happy mothers day!,safe
I only have 2 more seasons of X-Files to watch,safe
"Love it. Exactly what I was looking for. Nice looking, very functional, and it can go on my homescreen with check boxes. 10/10",safe
" need to get an intel based mac 1st   but this impacts on dual core vs quad choice, latter probably better for virtualization",safe
http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods,safe
"Woke up at 5am. Cleaned camera gear from last nights wedding. Should really go back to sleep, but kids awake.",safe
Can`t paint anymore because of the light,safe
I run multiple businesses and so far this has helped me organize my days tremendously. A lot of initial decisions had to be made about where I want things and that took a while but now I'm really glad I took the time to do it because it's all coming together and actually relieving some stress. Hopefully I can come back and add the 5th star after I've had more time using it!,safe
omgoodness FINALLY back from dinner with the fam bam!,safe
nice weather..looks like its going to rain here in # Delhi.,safe
Where DO you get all those wonderful toys?,safe
http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,safe
wants to wish all the moms a Happy Mother`s Day.  Hope you`re all treated like Queens!,safe
"App friezes when changing plant offline,fix needed",safe
"Great, premium allows for more alarms and reminders . But I don't have premium so that sucks.",safe
"I paid for the Premium version and had expected it to work. Unfortunately, I've been missing quite a few reminders because somehow they stopped working. The notifications didn't show at all. If this problem persists, I want to cancel my monthly subscription.",safe
This is great!  I just found out that it`s Star Wars Day.       'May the 4th' be with you!  Have you hugged your Ewok today?,safe
thanks to  for becoming a follower,safe
gut,safe
" wow, I see a Mr.B obsession in you!!",safe
pomo timer is still glitchy.,safe
Love this app Can guys add this features please 1. Task priority tag (red for important) 2. More notifications options ( sometimes a single clicking sound is not enough wish you add alarm settings) Thanks,safe
 http://twitpic.com/4wl7x - Very pretty Janette  I have that exact same Hey Monday band!  And its on the same arm :O,safe
Well hopefully I`ll see you both   at the conference,safe
- all is fine  thanks! you guys dont have any quakes there?,safe
"'Bad words are a crutch, they lead to tattoos and peircings!'  Hahahaha!",safe
found six great vegan places to eat and relax at; four of which I can`t get to without a car,safe
"Do you have plans to support Office 365 and outlook calendars directly.   Currently, I am syncing my calendars to Google but it's not a pleasant experience as the sync keeps failing on one or other calendar.    Due to this reason, I am stopping sectograph and moving to outlook widget :-(  For those who are on google calendar, it's an excellent app and the developer support is awesome.   I'm rating 4 only for the dependency on google calendar.",safe
"Love it! Lets you make multiple lists and lets you move items up and down to prioritize. Most useful out of several ""to-do list"" apps I've tried.",safe
i lurveeeeee you,safe
I give it 2 snaps down  how`s work going?,safe
"I couldn't change the language of this software, I tried it again and again, but the language didn't change.",safe
"I`m a bit late, but the new twitterific interface for the iPhone is very cool, oh and Richie and Lauren on their engagement",safe
Just realized you can get arrested for public disturbance. oh well i`ll take my chances.,safe
no watching The Night At The Museum. Getting Really Good,safe
Very nice app,safe
just had steamed fish w/ oyster sauce,safe
Thanx sis I`ll b sure to let them know how many people r praying w/them...,safe
it was t4 i think hannah  ****,safe
"Nine o`clock on a Sunday morning - Outside, sat around the table enjoying the early rays of sun, reading Twitter article in Sunday Times",safe
Happy mother`s day everyone! still playing pet society!,safe
And I fell asleep 10 minutes into the Saget roast.,safe
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",safe
Great app. I would rate it a 5 but there's an error where my completed tasks becomes unchecked constantly causing it to keep on becoming an unfinished task and it's annoying.,safe
follow her shes lonelyyyy,safe
" nuuuuu, i totally love may, it`s the best for me cos i was born in may",safe
had a great night with friends,safe
"Up and around a little earlier than I wanted to be (phone rang 5:30 AM).  Exercise is a good way to start the day, right?",safe
"Exactly what i was looking for, a way to set up and visualize my weekly routine",safe
"Lately, doesn't sync between web app and Android reminders well. Still a nice app, but that is an inconvenience.",safe
" hahaha, yes, our discussions always seem to jump around randomly",safe
Helpful.. helped me to stay on top of things. As a mom with school. This app makes stay on top,safe
I am trying to figure out how to use Twitter,safe
" In France it was last Friday and also the coming one, we are working",safe
" you don`t even care about there, their, and they`re.",safe
I never thought falling in love can cause so much pain...  good thing that I`m so over that phase!,safe
Just snuck out my window.. Now im laying on my roof looking at the stars. Its a nice night out tonight.,safe
Good! luck you! I want new shoes  Ly x,safe
